Correspondent,Assignors,Assignees,Invention Title,Application Date,Publish Date,Issue Date
KING & SPALDING,JST PERFORMANCE INC. - ,WELLS FARGO BANK NATIONAL ASSOCIATION - ,Lens System for Lighting Fixture,05-04-2012,10-10-2013,
KING & SPALDING,JST PERFORMANCE INC. - ,WELLS FARGO BANK NATIONAL ASSOCIATION - ,LIGHT FIXTURE WITH CURVED FRAME,14-01-2013,16-01-2014,
KING & SPALDING,JST PERFORMANCE INC. - ,WELLS FARGO BANK NATIONAL ASSOCIATION - ,METHOD AND APPARATUS FOR MARINE-BASED LIGHTING MECHANISMS,07-07-2014,15-01-2015,
KING & SPALDING,JST PERFORMANCE INC. - ,WELLS FARGO BANK NATIONAL ASSOCIATION - ,LED DEVICE WITH POWER REMOVAL DETECTION AND METHOD FOR USING THE SAME,07-09-2011,07-03-2013,05-08-2014,
KING & SPALDING,JST PERFORMANCE INC. - ,WELLS FARGO BANK NATIONAL ASSOCIATION - ,VEHICLE LIGHT WITH FLANGES,01-03-2012,06-05-2014,
KING & SPALDING,JST PERFORMANCE INC. - ,WELLS FARGO BANK NATIONAL ASSOCIATION - ,VEHICLE LED LIGHTING FIXTURE,21-09-2011,20-08-2013,
KOKKA & BACKUS PC,BANKS JANO - BOONE JEFFREY D - BOZARTH BRADLEY - ,RADIIENT TECHNOLOGIES INC. - ,WIRELESS LINK TO TRANSMIT DIGITAL AUDIO DATA BETWEEN DEVICES IN A MANNER CONTROLLED DYNAMICALLY TO ADAPT TO VARIABLE WIRELESS ERROR RATES,15-07-2013,26-06-2014,
KOKKA & BACKUS PC,RADIIENT TECHNOLOGIES INC. - ,ALIPHCOM - ,WIRELESS LINK TO TRANSMIT DIGITAL AUDIO DATA BETWEEN DEVICES IN A MANNER CONTROLLED DYNAMICALLY TO ADAPT TO VARIABLE WIRELESS ERROR RATES,15-07-2013,26-06-2014,
MIN-LEE TENG,YANG CHING-AN - CHIU WEI-TAI - PAN HAN-TSUNG - HSIN LUNG-PIN - JUAN YU-MEI - ,UBRIGHT OPTRONICS CORPORATION - ,OPTICAL SUBSTRATES HAVING LIGHT COLLIMATING AND DIFFUSION STRUCTURES,28-01-2014,28-08-2014,
MIN-LEE TENG,YANG CHING-AN - CHIU WEI-TAI - PAN HAN-TSUNG - HSIN LUNG-PIN - JUAN YU-MEI - ,UBRIGHT OPTRONICS CORPORATION - ,Optical substrates having light collimating and diffusion structures,26-08-2014,18-12-2014,
MIN-LEE TENG,WANG KONG-HUA - LIN CRAIG - KO DANIEL YAW-CHUNG - ,UBRIGHT OPTRONICS CORPORATION - ,MOIRE REDUCING OPTICAL SUBSTRATES WITH IRREGULAR PRISM STRUCTURES,26-08-2013,08-05-2014,
MIN-LEE TENG,LIU NAN-I - PAN HAN-TSUNG - ,UBRIGHT OPTRONICS CORPORATION - ,LUMINANCE ENHANCEMENT FILM HAVING A SUBSTRATE IINCORPORATION DISPERSED PARTICLES FOR DIFFUSION,16-10-2014,29-01-2015,
DAVID E LOEJOY,SRAMEK ROGER A - ,PLUS5 INC - ,WASTE MATERIAL PROCESSING FOR OIL RECOVERY,28-04-2008,29-10-2009,30-08-2011,
JAMES PHILO,L&W INNOVATIONS LLC - ,GAS CAN TECHNOLOGIES LTD. - ,CONTAINER FOR TRANSPORTING AND DISPENSING LIQUIDS,05-11-2007,10-04-2008,24-04-2012,
CHANG-HSING LIANG,LIU SHENG-YUNG - WEN WU-CHE - CHEN CHIH-MING - ,GOLDEN BIOTECHNOLOGY CORPORATION - ,METHODS AND COMPOSITIONS FOR TREATING NEURODEGENERATIVE DISEASES,21-11-2013,22-05-2014,
STEVEN M. AUVIL,EAGLEPICHER TECHNOLOGIES LLC - OMG ELECTRONIC CHEMICALS LLC - OMG AMERICAS INC. - EAGLEPICHER MEDICAL POWER LLC - COMPUGRAPHICS U.S.A. INC. - ,PNC BANK NATIONAL ASSOCIATION - ,METHOD OF FABRICATING AN ELECTROLYTIC CELL EMPLOYING A SOLID POLYMER ELECTROLYTE,16-03-2001,02-08-2001,06-05-2003,
STEVEN M. AUVIL,EAGLEPICHER TECHNOLOGIES LLC - OMG ELECTRONIC CHEMICALS LLC - OMG AMERICAS INC. - EAGLEPICHER MEDICAL POWER LLC - COMPUGRAPHICS U.S.A. INC. - ,PNC BANK NATIONAL ASSOCIATION - ,SUPERCAPACITOR HAVING ELECTRODES WITH NON-ACTIVATED CARBON FIBERS,21-05-1993,03-12-1996,
STEVEN M. AUVIL,EAGLEPICHER TECHNOLOGIES LLC - OMG ELECTRONIC CHEMICALS LLC - OMG AMERICAS INC. - EAGLEPICHER MEDICAL POWER LLC - COMPUGRAPHICS U.S.A. INC. - ,PNC BANK NATIONAL ASSOCIATION - ,COMPOSITE CURRENT COLLECTOR METHODS OF MANUFACTURE THEREOF AND ARTICLES INCLUDING THE SAME,10-06-2011,13-12-2012,
STEVEN M. AUVIL,EAGLEPICHER TECHNOLOGIES LLC - OMG ELECTRONIC CHEMICALS LLC - OMG AMERICAS INC. - EAGLEPICHER MEDICAL POWER LLC - COMPUGRAPHICS U.S.A. INC. - ,PNC BANK NATIONAL ASSOCIATION - ,NEGATIVE ELECTRODE MATERIAL FOR NONAQUEOUS ELECTROCHEMICAL CELLS,11-10-2002,03-04-2003,26-10-2004,
STEVEN M. AUVIL,EAGLEPICHER TECHNOLOGIES LLC - OMG ELECTRONIC CHEMICALS LLC - OMG AMERICAS INC. - EAGLEPICHER MEDICAL POWER LLC - COMPUGRAPHICS U.S.A. INC. - ,PNC BANK NATIONAL ASSOCIATION - ,BIPOLAR LITHIUM-ION RECHARGEABLE BATTERY,01-06-1995,21-01-1997,
STEVEN M. AUVIL,EAGLEPICHER TECHNOLOGIES LLC - OMG ELECTRONIC CHEMICALS LLC - OMG AMERICAS INC. - EAGLEPICHER MEDICAL POWER LLC - COMPUGRAPHICS U.S.A. INC. - ,PNC BANK NATIONAL ASSOCIATION - ,NON-AQUEOUS ELECTROLYTES FOR LITHIUM ELECTROCHEMICAL CELLS,07-11-2002,12-06-2003,08-02-2005,
STEVEN M. AUVIL,EAGLEPICHER TECHNOLOGIES LLC - OMG ELECTRONIC CHEMICALS LLC - OMG AMERICAS INC. - EAGLEPICHER MEDICAL POWER LLC - COMPUGRAPHICS U.S.A. INC. - ,PNC BANK NATIONAL ASSOCIATION - ,RECHARGEABLE ALKALINE SILVER- ZINC CELL WITH IMPROVED NEGATIVE ELECTRODE,02-10-1996,30-06-1998,
STEVEN M. AUVIL,EAGLEPICHER TECHNOLOGIES LLC - OMG ELECTRONIC CHEMICALS LLC - OMG AMERICAS INC. - EAGLEPICHER MEDICAL POWER LLC - COMPUGRAPHICS U.S.A. INC. - ,PNC BANK NATIONAL ASSOCIATION - ,PROCESS FOR MANUFACTURING SUPER CAPACITOR,10-04-1996,22-07-1997,
STEVEN M. AUVIL,EAGLEPICHER TECHNOLOGIES LLC - OMG ELECTRONIC CHEMICALS LLC - OMG AMERICAS INC. - EAGLEPICHER MEDICAL POWER LLC - COMPUGRAPHICS U.S.A. INC. - ,PNC BANK NATIONAL ASSOCIATION - ,LIQUID RETAINING PRESSURE RELIEF VALVE FOR BATTERY CELLS,18-03-2005,22-09-2005,23-08-2011,
STEVEN M. AUVIL,EAGLEPICHER TECHNOLOGIES LLC - OMG ELECTRONIC CHEMICALS LLC - OMG AMERICAS INC. - EAGLEPICHER MEDICAL POWER LLC - COMPUGRAPHICS U.S.A. INC. - ,PNC BANK NATIONAL ASSOCIATION - ,INORGANIC GEL-POLYMER ELECTROLYTE,15-03-2001,09-08-2001,29-07-2003,
BARNES & THORNBURG LLP,PADANA AG - ,DANZER SERVICES SCHWEIZ AG - ,FLITCH TABLE MOUNTING,08-06-1999,15-08-2000,
BARNES & THORNBURG LLP,PADANA AG - ,DANZER SERVICES SCHWEIZ AG - ,Automatic clipping line,20-06-2006,20-12-2007,
BARNES & THORNBURG LLP,PADANA AG - ,DANZER SERVICES SCHWEIZ AG - ,METHOD AND APPARATUS FOR PRODUCING FIGURED VENEER,12-07-2012,03-01-2013,07-10-2014,
BARNES & THORNBURG LLP,PADANA AG - ,DANZER SERVICES SCHWEIZ AG - ,CROSSCLIPPING AND BUNDLING SYSTEM AND METHOD FOR VENEER PACKETS,04-08-2010,20-01-2011,
BARNES & THORNBURG LLP,PADANA AG - ,DANZER SERVICES SCHWEIZ AG - ,VENEER SLICER,11-06-1998,09-11-1999,
MARYELLEN FEEHERY HANK,BENJAMIN MOORE & CO. - ,COLUMBIA INSURANCE COMPANY - ,PAINTS WITH IMPROVED WATER STAINING AND COLOR RUB-OFF QUALITIES,11-12-2012,28-03-2013,
WAYNE L. TANG,AOKI DION K. - ENGLMAN ALLON G. - JAFFE JOEL R. - ,WMS GAMING INC. - ,MULTI-GAME VIDEO POKER MACHINE AND SYSTEM WITH ASYMMETRICALLY ACCESSIBLE CUSTOMIZATION FEATURES,25-11-2013,27-03-2014,
MIDDLETON REUTLINGER,E. I. DU PONT DE NEMOURS AND COMPANY - ,JACOB HOLM & SONS AG - ,Biodegradable Landscape Fabric,19-07-2012,18-07-2013,
LEMPIA SUMMERFIELD KATZ LLC,HEALD JONATHAN RODERIC - ,HEALD TECHNOLOGIES LTD. - ,Security Barrier,06-02-2013,15-08-2013,
ARTHUR A. GARDNER,MCDAVITT DANIEL L. - ,L-3 COMMUNICATIONS CORPORATION - ,BACKLIGHT DISPLAY USING PHOTOLUMINESCENT MATERIAL TUNED TO IMPROVE NVIS COMPATIBILITY,07-03-2013,12-09-2013,
PEREGRINE PHARMACEUTICALS INC.,BOARD OF REGENTS THE UNIVERSITY OF TEXAS SYSTEM - ,NATIONAL INSTITUTES OF HEALTH (NIH) U.S. DEPT. OF HEALTH AND HUMAN SERVICES (DHHS) U.S. GOVERNMENT - ,DIAGNOSTIC METHODS  FOR TARGETING THE VASCULATURE OF SOLID TUMORS,08-12-1998,17-07-2001,
MUNCY GEISSLER OLDS & LOWE P.C.,GUTER WOLFGANG - ,AZUR SPACE SOLAR POWER GMBH - ,SOLAR CELL STACK,14-10-2014,05-02-2015,
MAYBACK & HOFFMAN P.A.,UUNIQUUE SECUURITY SOLUTIONS LLC - ,VISUUM LLC - ,MULTI-LINEAR X-RAY SCANNING SYSTEMS AND METHODS FOR X-RAY SCANNING,07-02-2013,08-08-2013,
KACVINSKY DAISAK BLUNI PLLC,MACDONALD MARK - HEYMANN DOUGLAS - WIKANDER JERED H. - NISHI YOSHIFUMI - ,INTEL CORPORATION - ,TECHNIQUES FOR IMPROVED VOLUMETRIC RESISTANCE BLOWER APPARATUS SYSTEM AND METHOD,28-06-2013,01-01-2015,
BLACKBERRY LIMITED - JAMIE-LYN,8758271 CANADA INC. - ,2236008 ONTARIO INC. - ,OFF-AXIS AUDIO SUPPRESSIONS IN AN AUTOMOBILE CABIN,06-08-2014,27-11-2014,
